ZAVSIF	SLID	ZAVNAZIV
279	61260	Osnovna Ĺˇola Poljane Ljubljana
283	61400	Osnovna Ĺˇola Vide Pregarc Ljubljana
285	61190	Osnovna Ĺˇola Martina Krpana Ljubljana
288	61110	Osnovna Ĺˇola Karla Destovnika Kajuha Ljubljana
295	61090	Osnovna Ĺˇola Hinka Smrekarja Ljubljana
297	61410	Osnovna Ĺˇola ViĹľmarje - Brod
299	61380	Osnovna Ĺˇola Valentina Vodnika Ljubljana
300	61300	Osnovna Ĺˇola Riharda JakopiÄŤa Ljubljana
302	61070	Osnovna Ĺˇola Franca Rozmana - Staneta Ljubljana
306	61350	Osnovna Ĺˇola Ĺ martno pod Ĺ marno goro
747	71032	Osnovna Ĺˇola Preska
965	71031	Osnovna Ĺˇola Preska
964	138011	Osnovna Ĺˇola Vodice
3788	123011	Osnovna Ĺˇola Ĺ kofljica
953	37013	Osnovna Ĺˇola Ig
321	134010	Osnovna Ĺˇola PrimoĹľa Trubarja Velike LaĹˇÄŤe
3553	134012	Osnovna Ĺˇola PrimoĹľa Trubarja Velike LaĹˇÄŤe
961	8011	Osnovna Ĺˇola Brezovica pri Ljubljani
955	21022	Osnovna Ĺˇola Polhov Gradec
327	176010	Osnovna Ĺˇola Janeza Kuharja RazkriĹľje
334	64010	Osnovna Ĺˇola 8 talcev Logatec
730	64011	Osnovna Ĺˇola 8 talcev Logatec
715	91021	Osnovna Ĺˇola Mozirje
342	30010	Osnovna Ĺˇola Frana Kocbeka Gornji Grad
9590	30011	Osnovna Ĺˇola Frana Kocbeka Gornji Grad
726	80041	Osnovna Ĺˇola Bakovci
1379	97012	Osnovna Ĺˇola Puconci
723	97011	Osnovna Ĺˇola Puconci
724	116011	Osnovna Ĺˇola Sveti Jurij
924	84081	Osnovna Ĺˇola Solkan
362	7010	Osnovna Ĺˇola Alojza Gradnika Dobrovo
366	84050	Osnovna Ĺˇola Ivana Roba Ĺ empeter pri Gorici
921	84052	Osnovna Ĺˇola Ivana Roba Ĺ empeter pri Gorici
368	75010	Osnovna Ĺˇola Miren
927	75012	Osnovna Ĺˇola Miren
369	84060	Osnovna Ĺˇola Lucijana BratkoviÄŤa BratuĹˇa RenÄŤe
374	85040	Osnovna Ĺˇola Grm Novo mesto
375	79013	Osnovna Ĺˇola Ĺ mihel
738	85081	Osnovna Ĺˇola Ĺ mihel
376	85030	Osnovna Ĺˇola Center Novo mesto
380	170010	Osnovna Ĺˇola Toneta PavÄŤka
737	119011	Osnovna Ĺˇola Ĺ entjernej
740	85062	Osnovna Ĺˇola StopiÄŤe
733	193021	Osnovna Ĺˇola Ĺ˝uĹľemberk
734	193022	Osnovna Ĺˇola Ĺ˝uĹľemberk
389	87050	Osnovna Ĺˇola Sveti TomaĹľ
748	87061	Osnovna Ĺˇola Velika Nedelja
751	90030	Osnovna Ĺˇola Vincenzo e Diego de Castro Piran
757	94031	Osnovna Ĺˇola Miroslava Vilharja Postojna
413	24010	Osnovna Ĺˇola dr. Franja Ĺ˝geÄŤa Dornava
3743	18011	Osnovna Ĺˇola Destrnik - Trnovska vas
414	18010	Osnovna Ĺˇola Destrnik - Trnovska vas
418	28020	Osnovna Ĺˇola Cirkulane - ZavrÄŤ
765	28021	Osnovna Ĺˇola Cirkulane - ZavrÄŤ
420	172010	Osnovna Ĺˇola Podlehnik
766	45011	Osnovna Ĺˇola KidriÄŤevo
3711	101011	Osnovna Ĺˇola Radlje ob Dravi
774	101014	Osnovna Ĺˇola Radlje ob Dravi
431	102010	Osnovna Ĺˇola Antona TomaĹľa Linharta Radovljica
886	102030	Osnovna Ĺˇola Staneta Ĺ˝agarja Lipnica
435	102020	Osnovna Ĺˇola F. S. FinĹľgarja Lesce
9877	13022	Osnovna Ĺˇola F. S. FinĹľgarja Lesce
436	3020	Osnovna Ĺˇola prof. dr. Josipa Plemlja Bled
884	3022	Osnovna Ĺˇola prof. dr. Josipa Plemlja Bled
437	4010	Osnovna Ĺˇola dr. Janeza Mencingerja Bohinjska Bistrica
885	4011	Osnovna Ĺˇola dr. Janeza Mencingerja Bohinjska Bistrica
438	61280	Osnovna Ĺˇola PreĹľihovega Voranca Ravne na KoroĹˇkem
439	126012	Osnovna Ĺˇola KoroĹˇki jeklarji Ravne na KoroĹˇkem
445	104010	Osnovna Ĺˇola dr. Franceta PreĹˇerna
794	104011	Osnovna Ĺˇola dr. Franceta PreĹˇerna
795	104012	Osnovna Ĺˇola dr. Franceta PreĹˇerna
448	66010	Osnovna Ĺˇola dr. Antona Debeljaka LoĹˇki Potok
451	110040	Osnovna Ĺˇola Sava Kladnika Sevnica
797	110401	Osnovna Ĺˇola Sava Kladnika Sevnica
798	110402	Osnovna Ĺˇola Sava Kladnika Sevnica
455	110050	Osnovna Ĺˇola Milan Majcen Ĺ entjanĹľ
458	19010	Osnovna Ĺˇola dr. Bogomirja Magajne DivaÄŤa
3790	49011	Osnovna Ĺˇola Antona Ĺ ibelja - Stjenka Komen
460	49010	Osnovna Ĺˇola Antona Ĺ ibelja - Stjenka Komen
461	35010	Osnovna Ĺˇola Dragomirja BenÄŤiÄŤa - Brkina Hrpelje
812	112031	Prva osnovna Ĺˇola Slovenj Gradec
813	112022	Osnovna Ĺˇola Podgorje pri Slovenj Gradcu
808	76011	Osnovna Ĺˇola Mislinja
3533	113061	Osnovna Ĺˇola Pohorskega odreda Slovenska Bistrica
471	113050	Osnovna Ĺˇola Partizanska bolniĹˇnica Jesen Tinje
473	113040	Osnovna Ĺˇola Gustava Ĺ iliha Laporje
474	113030	Osnovna Ĺˇola dr. JoĹľeta PuÄŤnika ÄŚreĹˇnjevec
475	113070	Osnovna Ĺˇola Kajetana KoviÄŤa PoljÄŤane
477	113020	Osnovna Ĺˇola Antona IngoliÄŤa Spodnja Polskava
817	113021	Osnovna Ĺˇola Antona IngoliÄŤa Spodnja Polskava
818	113022	Osnovna Ĺˇola Antona IngoliÄŤa Spodnja Polskava
480	120030	Osnovna Ĺˇola Franja Malgaja Ĺ entjur
824	120061	Osnovna Ĺˇola Slivnica pri Celju
829	122031	Osnovna Ĺˇola Ivana Groharja
484	122010	Osnovna Ĺˇola Ĺ kofja Loka - Mesto
485	122020	Osnovna Ĺˇola Cvetka Golarja Ĺ kofja Loka
832	122021	Osnovna Ĺˇola Cvetka Golarja Ĺ kofja Loka
833	146011	Osnovna Ĺˇola Ĺ˝elezniki
834	146012	Osnovna Ĺˇola Ĺ˝elezniki
835	146013	Osnovna Ĺˇola Ĺ˝elezniki
689	57023	Osnovna Ĺˇola PrimoĹľa Trubarja LaĹˇko
691	57024	Osnovna Ĺˇola PrimoĹľa Trubarja LaĹˇko
9873	57025	Osnovna Ĺˇola PrimoĹľa Trubarja LaĹˇko
3529	124014	Osnovna Ĺˇola Ĺ marje pri JelĹˇah
3530	124011	Osnovna Ĺˇola Ĺ marje pri JelĹˇah
786	124016	Osnovna Ĺˇola Ĺ marje pri JelĹˇah
787	124015	Osnovna Ĺˇola Ĺ marje pri JelĹˇah
498	106010	VIZ II. OĹ  RogaĹˇka Slatina
500	107010	VIZ Osnovna Ĺˇola Rogatec
785	92011	Osnovna Ĺˇola PodÄŤetrtek
837	128021	Osnovna Ĺˇola Franceta Bevka Tolmin
838	128022	Osnovna Ĺˇola Franceta Bevka Tolmin
850	130012	Osnovna Ĺˇola Trebnje
854	199011	Osnovna Ĺˇola Mokronog
516	211010	Osnovna Ĺˇola dr. Pavla LunaÄŤka Ĺ entrupert
523	133060	Osnovna Ĺˇola Ĺ alek Velenje
524	133040	Osnovna Ĺˇola Livada Velenje
1239	133021	Osnovna Ĺˇola Gorica Velenje
526	133020	Osnovna Ĺˇola Gorica Velenje
528	133050	Osnovna Ĺˇola Mihe Pintarja - Toleda Velenje
533	125010	Osnovna Ĺˇola bratov Letonja Ĺ martno ob Paki
534	140020	Osnovna Ĺˇola Log - Dragomer
535	5010	Osnovna Ĺˇola dr. Ivana KoroĹˇca Borovnica
539	142020	Osnovna Ĺˇola Ivana SkvarÄŤe
540	142030	Osnovna Ĺˇola Toneta Okrogarja
870	142011	Osnovna Ĺˇola Ivana KavÄŤiÄŤa Izlake
9855	190031	Osnovna Ĺˇola PetrovÄŤe
873	190011	Osnovna Ĺˇola GriĹľe
545	189010	Osnovna Ĺˇola Vransko - Tabor
546	190040	I. osnovna Ĺˇola Ĺ˝alec
1377	151013	Osnovna Ĺˇola BraslovÄŤe
876	151011	Osnovna Ĺˇola BraslovÄŤe
562	61360	Osnovna Ĺˇola Toneta ÄŚufarja Maribor
936	115011	Osnovna Ĺˇola StarĹˇe
942	26011	Osnovna Ĺˇola Duplek
575	160010	Osnovna Ĺˇola DuĹˇana Flisa HoÄŤe
938	160011	Osnovna Ĺˇola DuĹˇana Flisa HoÄŤe
935	169011	Osnovna Ĺˇola MiklavĹľ na Dravskem polju
577	160020	Osnovna Ĺˇola Franca LeĹˇnika - Vuka Slivnica pri Mariboru
580	70200	Osnovna Ĺˇola Rada RobiÄŤa LimbuĹˇ
904	55011	Osnovna Ĺˇola Kungota
905	55012	Osnovna Ĺˇola Kungota
584	133031	Osnovna Ĺˇola Rudolfa Maistra Ĺ entilj
903	118011	Osnovna Ĺˇola Rudolfa Maistra Ĺ entilj
598	154010	Osnovna Ĺˇola Dobje
599	38010	Osnovna Ĺˇola Antona Ĺ˝niderĹˇiÄŤa Ilirska Bistrica
600	38020	Osnovna Ĺˇola Dragotina Ketteja Ilirska Bistrica
603	189011	Osnovna Ĺˇola Tabor I Maribor
607	114020	Osnovna Ĺˇola Ob Dravinji Slovenske Konjice
608	114030	Osnovna Ĺˇola Pod goro Slovenske Konjice
975	48012	Osnovna Ĺˇola Ob RinĹľi KoÄŤevje
781	80021	Osnovna Ĺˇola II Murska Sobota
811	112011	Druga osnovna Ĺˇola Slovenj Gradec
